unix,date,symbol,open,high,low,close,Volume ETH,Volume GBP,tradecount
1660237200000,2022-08-11 17:00:00,ETH/GBP,1555.33000000,1562.08000000,1552.25000000,1557.29000000,1428.12870000,2224950.92909200,1728
1660233600000,2022-08-11 16:00:00,ETH/GBP,1548.49000000,1557.55000000,1544.22000000,1554.76000000,1517.19760000,2352377.06552100,1811
1660230000000,2022-08-11 15:00:00,ETH/GBP,1556.88000000,1564.36000000,1544.75000000,1548.76000000,1721.86880000,2677475.22847500,2042
1660226400000,2022-08-11 14:00:00,ETH/GBP,1563.53000000,1574.88000000,1541.84000000,1556.88000000,1845.21670000,2877633.54783700,2337
1660222800000,2022-08-11 13:00:00,ETH/GBP,1575.49000000,1576.35000000,1554.34000000,1563.52000000,2079.32590000,3253268.90495900,2579
1660219200000,2022-08-11 12:00:00,ETH/GBP,1560.02000000,1586.98000000,1559.64000000,1575.95000000,2461.20960000,3873287.54195500,3455
1660215600000,2022-08-11 11:00:00,ETH/GBP,1546.32000000,1566.50000000,1546.11000000,1559.58000000,839.09810000,1305179.91317300,1271
1660212000000,2022-08-11 10:00:00,ETH/GBP,1540.03000000,1549.47000000,1536.59000000,1546.41000000,1038.12750000,1602298.58911100,1401
1660208400000,2022-08-11 09:00:00,ETH/GBP,1545.27000000,1549.33000000,1539.40000000,1540.03000000,740.08430000,1143326.12501800,1017
1660204800000,2022-08-11 08:00:00,ETH/GBP,1538.26000000,1548.87000000,1534.21000000,1545.06000000,1245.60160000,1919687.54985600,1353
1660201200000,2022-08-11 07:00:00,ETH/GBP,1546.82000000,1557.88000000,1531.75000000,1537.38000000,1707.90000000,2635020.70090600,2062
1660197600000,2022-08-11 06:00:00,ETH/GBP,1551.89000000,1557.12000000,1541.73000000,1546.65000000,1479.67270000,2294682.50554800,1897
1660194000000,2022-08-11 05:00:00,ETH/GBP,1549.57000000,1562.00000000,1542.88000000,1551.89000000,684.60480000,1064203.82597000,1037
1660190400000,2022-08-11 04:00:00,ETH/GBP,1541.22000000,1551.36000000,1540.00000000,1551.36000000,274.57030000,424098.79330500,532
1660186800000,2022-08-11 03:00:00,ETH/GBP,1541.39000000,1545.71000000,1533.39000000,1541.07000000,348.08740000,536084.27010200,641
1660183200000,2022-08-11 02:00:00,ETH/GBP,1562.79000000,1565.82000000,1528.19000000,1540.14000000,403.15160000,620665.32014400,699
1660179600000,2022-08-11 01:00:00,ETH/GBP,1537.21000000,1570.87000000,1531.56000000,1562.80000000,580.48870000,899832.70096800,1244
1660176000000,2022-08-11 00:00:00,ETH/GBP,1518.91000000,1541.40000000,1517.06000000,1536.64000000,377.49850000,576380.69284500,635
1660172400000,2022-08-10 23:00:00,ETH/GBP,1515.23000000,1519.56000000,1513.11000000,1518.52000000,153.12300000,232173.55071000,315
1660168800000,2022-08-10 22:00:00,ETH/GBP,1524.93000000,1530.25000000,1512.09000000,1514.73000000,322.93540000,491595.92622600,661
1660165200000,2022-08-10 21:00:00,ETH/GBP,1508.80000000,1545.40000000,1499.06000000,1524.89000000,425.32350000,644840.50543700,846
1660161600000,2022-08-10 20:00:00,ETH/GBP,1488.16000000,1510.00000000,1488.16000000,1508.19000000,337.84750000,505413.47538200,603
1660158000000,2022-08-10 19:00:00,ETH/GBP,1483.72000000,1494.87000000,1481.05000000,1487.11000000,357.44200000,532037.89834000,667
1660154400000,2022-08-10 18:00:00,ETH/GBP,1497.02000000,1498.99000000,1476.52000000,1484.40000000,399.41320000,594570.22823300,793
1660150800000,2022-08-10 17:00:00,ETH/GBP,1495.19000000,1500.87000000,1487.38000000,1496.82000000,405.35350000,606315.35188300,697
1660147200000,2022-08-10 16:00:00,ETH/GBP,1499.42000000,1508.58000000,1492.03000000,1495.40000000,462.28510000,693210.47244000,903
1660143600000,2022-08-10 15:00:00,ETH/GBP,1505.06000000,1508.77000000,1496.57000000,1499.63000000,527.75990000,792888.80021800,1208
1660140000000,2022-08-10 14:00:00,ETH/GBP,1499.48000000,1514.00000000,1490.82000000,1504.92000000,516.57040000,774532.60886600,1023
1660136400000,2022-08-10 13:00:00,ETH/GBP,1491.37000000,1512.51000000,1471.11000000,1499.09000000,1056.04850000,1582443.36514000,2072
1660132800000,2022-08-10 12:00:00,ETH/GBP,1410.38000000,1502.39000000,1408.41000000,1491.70000000,1496.12300000,2177217.60798900,2866
1660129200000,2022-08-10 11:00:00,ETH/GBP,1401.69000000,1416.98000000,1400.62000000,1409.87000000,305.18180000,429793.39291600,623
1660125600000,2022-08-10 10:00:00,ETH/GBP,1407.32000000,1407.85000000,1398.92000000,1402.00000000,287.45730000,403231.87198800,548
1660122000000,2022-08-10 09:00:00,ETH/GBP,1410.55000000,1413.54000000,1400.64000000,1407.75000000,319.19680000,448842.76795900,583
1660118400000,2022-08-10 08:00:00,ETH/GBP,1396.30000000,1412.06000000,1394.87000000,1409.47000000,359.80370000,504299.64159900,689
1660114800000,2022-08-10 07:00:00,ETH/GBP,1392.22000000,1401.19000000,1392.08000000,1396.28000000,304.26550000,424915.52751300,581
1660111200000,2022-08-10 06:00:00,ETH/GBP,1391.22000000,1394.44000000,1386.76000000,1392.22000000,311.23870000,432751.47192700,539
1660107600000,2022-08-10 05:00:00,ETH/GBP,1391.54000000,1394.55000000,1388.15000000,1391.74000000,337.23730000,469428.40220200,390
1660104000000,2022-08-10 04:00:00,ETH/GBP,1383.39000000,1394.12000000,1382.06000000,1391.61000000,419.83140000,582448.77030400,520
1660100400000,2022-08-10 03:00:00,ETH/GBP,1391.74000000,1395.10000000,1382.54000000,1382.67000000,164.95030000,228736.48163100,224
1660096800000,2022-08-10 02:00:00,ETH/GBP,1394.00000000,1395.89000000,1381.94000000,1391.65000000,220.10440000,305225.22292000,364
1660093200000,2022-08-10 01:00:00,ETH/GBP,1385.87000000,1401.63000000,1385.73000000,1393.41000000,184.63430000,257497.35117400,343
1660089600000,2022-08-10 00:00:00,ETH/GBP,1411.08000000,1411.38000000,1374.64000000,1386.17000000,462.85010000,644516.96950700,779
1660086000000,2022-08-09 23:00:00,ETH/GBP,1412.41000000,1417.66000000,1408.95000000,1410.98000000,299.30640000,422970.55181000,433
1660082400000,2022-08-09 22:00:00,ETH/GBP,1414.94000000,1422.16000000,1407.97000000,1412.24000000,350.54080000,496362.32304800,558
1660078800000,2022-08-09 21:00:00,ETH/GBP,1406.52000000,1417.67000000,1406.45000000,1415.08000000,316.02480000,446490.42160700,561
1660075200000,2022-08-09 20:00:00,ETH/GBP,1400.20000000,1408.25000000,1399.19000000,1406.60000000,330.52360000,463970.81663500,651
1660071600000,2022-08-09 19:00:00,ETH/GBP,1401.82000000,1403.66000000,1393.53000000,1400.02000000,337.60600000,472106.93696700,529
1660068000000,2022-08-09 18:00:00,ETH/GBP,1403.35000000,1404.95000000,1396.94000000,1401.92000000,264.10540000,369919.57095400,573
1660064400000,2022-08-09 17:00:00,ETH/GBP,1398.14000000,1406.09000000,1395.71000000,1403.74000000,365.50120000,512508.43947300,759
1660060800000,2022-08-09 16:00:00,ETH/GBP,1394.80000000,1401.24000000,1387.00000000,1397.83000000,239.66480000,334623.97607300,609
1660057200000,2022-08-09 15:00:00,ETH/GBP,1393.61000000,1403.42000000,1390.60000000,1395.11000000,344.38000000,481571.91108000,792
1660053600000,2022-08-09 14:00:00,ETH/GBP,1395.18000000,1398.06000000,1380.01000000,1393.90000000,707.13320000,983762.42215800,1425
1660050000000,2022-08-09 13:00:00,ETH/GBP,1410.63000000,1419.55000000,1393.13000000,1395.18000000,488.35240000,689247.95316700,1019
1660046400000,2022-08-09 12:00:00,ETH/GBP,1409.07000000,1416.82000000,1405.40000000,1410.89000000,249.17370000,351617.69267600,567
1660042800000,2022-08-09 11:00:00,ETH/GBP,1417.08000000,1425.27000000,1400.00000000,1410.01000000,512.34010000,725327.29854800,964
1660039200000,2022-08-09 10:00:00,ETH/GBP,1432.46000000,1440.17000000,1416.02000000,1416.79000000,686.06160000,979835.49002200,1283
1660035600000,2022-08-09 09:00:00,ETH/GBP,1463.73000000,1465.64000000,1431.12000000,1431.60000000,579.84660000,841802.25840700,1198
1660032000000,2022-08-09 08:00:00,ETH/GBP,1475.69000000,1476.11000000,1462.46000000,1463.82000000,315.85170000,463557.31084400,602
1660028400000,2022-08-09 07:00:00,ETH/GBP,1474.00000000,1483.25000000,1470.85000000,1475.78000000,224.24930000,331029.62309700,496
1660024800000,2022-08-09 06:00:00,ETH/GBP,1470.48000000,1474.26000000,1462.45000000,1473.95000000,333.63830000,489346.30249600,632
1660021200000,2022-08-09 05:00:00,ETH/GBP,1474.55000000,1474.55000000,1468.80000000,1470.62000000,196.84750000,289599.81723600,453
1660017600000,2022-08-09 04:00:00,ETH/GBP,1473.50000000,1476.17000000,1469.41000000,1474.55000000,260.74750000,384227.31822300,386
1660014000000,2022-08-09 03:00:00,ETH/GBP,1470.09000000,1475.63000000,1468.86000000,1473.60000000,256.08650000,377149.30631200,387
1660010400000,2022-08-09 02:00:00,ETH/GBP,1463.51000000,1471.04000000,1460.54000000,1470.01000000,177.57890000,260373.61960100,326
1660006800000,2022-08-09 01:00:00,ETH/GBP,1467.99000000,1470.71000000,1460.81000000,1463.12000000,348.30420000,510659.09088300,589
1660003200000,2022-08-09 00:00:00,ETH/GBP,1471.32000000,1478.99000000,1465.55000000,1468.70000000,341.18070000,502695.71058100,574
1659999600000,2022-08-08 23:00:00,ETH/GBP,1473.58000000,1482.19000000,1464.97000000,1471.80000000,433.01540000,637607.30743300,733
1659996000000,2022-08-08 22:00:00,ETH/GBP,1467.42000000,1473.33000000,1456.07000000,1471.98000000,197.24730000,289584.41769400,377
1659992400000,2022-08-08 21:00:00,ETH/GBP,1489.15000000,1489.15000000,1464.45000000,1467.83000000,283.49830000,417197.72898600,446
1659988800000,2022-08-08 20:00:00,ETH/GBP,1477.96000000,1491.03000000,1476.77000000,1489.69000000,264.24710000,391541.13799900,519
1659985200000,2022-08-08 19:00:00,ETH/GBP,1469.70000000,1480.66000000,1465.82000000,1478.00000000,394.44020000,581553.28884900,690
1659981600000,2022-08-08 18:00:00,ETH/GBP,1465.93000000,1475.00000000,1460.00000000,1470.16000000,373.58610000,548325.20376200,575
1659978000000,2022-08-08 17:00:00,ETH/GBP,1462.79000000,1469.05000000,1461.11000000,1466.08000000,272.02580000,398647.98298100,494
1659974400000,2022-08-08 16:00:00,ETH/GBP,1468.66000000,1470.18000000,1453.84000000,1465.02000000,440.76980000,644640.13548100,819
